week,n
2016-11-06,3
2016-11-13,1
2016-11-20,1
2016-11-27,1
2016-12-04,1
2016-12-11,4
2016-12-18,1
2016-12-25,2
2017-01-01,2
2017-01-08,4
2017-01-15,0
2017-01-22,3
2017-01-29,4
2017-02-05,2
2017-02-12,0
2017-02-19,0
2017-02-26,6
2017-03-05,4
2017-03-12,0
2017-03-19,2
2017-03-26,3
2017-04-02,1
2017-04-09,4
2017-04-16,2
2017-04-23,5
2017-04-30,4
2017-05-07,2
2017-05-14,1
2017-05-21,1
2017-05-28,4
2017-06-04,3
2017-06-11,3
2017-06-18,4
2017-06-25,3
2017-07-02,6
2017-07-09,1
2017-07-16,6
2017-07-23,4
2017-07-30,2
2017-08-06,1
2017-08-13,6
2017-08-20,4
2017-08-27,6
2017-09-03,1
2017-09-10,2
2017-09-17,3
2017-09-24,4
2017-10-01,1
2017-10-08,5
2017-10-15,0
2017-10-22,4
2017-10-29,2
