tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2004-403,Miami Masters,Hard,96,M,20040322,065,104745,32,NA,Nadal,L,185,ESP,17.8015058179,34,973,103819,1,NA,Roger Federer,R,185,SUI,22.6201232033,1,5635,6-3 6-3,3,R32,70,1,2,48,39,31,5,9,0,0,8,2,56,34,21,13,9,4,7
2005-520,Roland Garros,Clay,128,G,20050523,125,104745,4,NA,Nadal,L,185,ESP,18.970568104,5,2600,103819,1,NA,Roger Federer,R,185,SUI,23.7891854894,1,6605,6-3 4-6 6-4 6-3,5,SF,167,2,4,120,88,54,16,19,6,12,3,5,119,74,47,17,19,4,13
2005-403,Miami Masters,Hard,96,M,20050321,095,103819,1,NA,Federer,R,185,SUI,23.6167008898,1,6050,104745,29,NA,Rafael Nadal,L,185,ESP,18.7980835044,31,1065,2-6 6-7(4) 7-6(5) 6-3 6-1,5,F,223,9,9,151,90,67,30,24,4,9,4,4,156,100,64,32,24,6,13
2006-520,Roland Garros,Clay,128,G,20060529,127,104745,2,NA,Nadal,L,185,ESP,19.9863107461,2,4545,103819,1,NA,Roger Federer,R,185,SUI,24.8049281314,1,7010,1-6 6-1 6-4 7-6(4),5,F,182,3,0,111,85,59,17,18,7,10,8,1,119,72,49,25,18,8,12
2006-540,Wimbledon,Grass,128,G,20060626,127,103819,1,NA,Federer,R,185,SUI,24.8815879535,1,7260,104745,2,NA,Rafael Nadal,L,185,ESP,20.0629705681,2,4545,6-0 7-6(5) 6-7(2) 6-3,5,F,178,13,1,119,83,64,20,20,1,3,9,3,127,94,64,14,19,4,10
2006-495,Dubai,Hard,32,A,20060227,031,104745,2,NA,Nadal,L,185,ESP,19.7371663244,2,4455,103819,1,NA,Roger Federer,R,185,SUI,24.5557837098,1,6725,2-6 6-4 6-4,3,F,113,1,1,80,56,38,13,14,0,3,9,0,69,41,33,16,14,2,5
2006-410,Monte Carlo Masters,Clay,64,M,20060417,063,104745,2,NA,Nadal,L,185,ESP,19.871321013,2,4135,103819,1,NA,Roger Federer,R,185,SUI,24.6899383984,1,6810,6-2 6-7(2) 6-3 7-6(5),5,F,230,1,4,152,106,70,24,21,14,18,3,3,143,86,54,28,20,7,14
2006-416,Rome Masters,Clay,64,M,20060508,063,104745,2,NA,Nadal,L,185,ESP,19.9288158795,2,4135,103819,1,NA,Roger Federer,R,185,SUI,24.7474332649,1,7160,6-7(0) 7-6(5) 6-4 2-6 7-6(5),5,F,305,4,1,173,147,101,14,27,6,10,10,0,180,112,86,35,27,6,9
2006-605,Masters Cup,Hard,8,F,20061113,004,103819,NA,NA,Federer,R,185,SUI,25.2648870637,1,7620,104745,NA,NA,Rafael Nadal,L,185,ESP,20.4462696783,2,4270,6-4 7-5,3,SF,113,7,4,60,37,32,10,11,1,2,0,2,80,55,33,14,11,8,11
2007-520,Roland Garros,Clay,128,G,20070528,127,104745,2,NA,Nadal,L,185,ESP,20.9828884326,2,5225,103819,1,NA,Roger Federer,R,185,SUI,25.8015058179,1,7515,6-3 4-6 6-3 6-4,5,F,190,2,1,137,106,74,17,19,16,17,9,1,118,76,50,23,19,6,10
2007-410,Monte Carlo Masters,Clay,56,M,20070415,055,104745,2,NA,Nadal,L,185,ESP,20.8678986995,2,4875,103819,1,NA,Roger Federer,R,185,SUI,25.6865160849,1,7290,6-4 6-4,3,F,95,1,1,66,52,38,8,10,3,3,3,4,66,36,26,13,10,6,8
2007-414,Hamburg Masters,Clay,56,M,20070514,055,103819,1,NA,Federer,R,185,SUI,25.7631759069,1,7015,104745,2,NA,Rafael Nadal,L,185,ESP,20.9445585216,2,4875,2-6 6-2 6-0,3,F,115,6,0,73,38,29,17,11,5,7,1,1,79,62,32,8,11,6,11
2007-540,Wimbledon,Grass,128,G,20070625,127,103819,1,NA,Federer,R,185,SUI,25.87816564,1,7290,104745,2,NA,Rafael Nadal,L,185,ESP,21.0595482546,2,5225,7-6(7) 4-6 7-6(3) 2-6 6-2,5,F,225,24,3,156,111,79,28,25,7,11,1,2,167,118,81,28,25,5,8
2007-605,Masters Cup,Hard,8,F,20071112,004,103819,NA,NA,Federer,R,185,SUI,26.2614647502,1,6530,104745,NA,NA,Rafael Nadal,L,185,ESP,21.4428473648,2,5535,6-4 6-1,3,SF,59,11,0,48,39,32,5,9,1,1,1,1,39,28,17,6,8,1,4
2008-540,Wimbledon,Grass,128,G,20080623,127,104745,2,NA,Nadal,L,185,ESP,22.0561259411,2,5755,103819,1,NA,Roger Federer,R,185,SUI,26.8747433265,1,6900,6-4 6-4 6-7(5) 6-7(8) 9-7,5,F,288,6,3,218,160,111,34,30,12,13,25,2,195,127,92,39,30,9,13
2008-520,Roland Garros,Clay,128,G,20080525,127,104745,2,NA,Nadal,L,185,ESP,21.9794661191,2,5585,103819,1,NA,Roger Federer,R,185,SUI,26.7980835044,1,6675,6-1 6-3 6-0,5,F,108,0,0,67,50,35,11,11,3,4,2,0,77,53,26,5,11,9,17
2008-414,Hamburg Masters,Clay,56,M,20080511,055,104745,2,NA,Nadal,L,185,ESP,21.9411362081,2,5435,103819,1,NA,Roger Federer,R,185,SUI,26.7597535934,1,6825,7-5 6-7(3) 6-3,3,F,172,3,3,101,77,51,8,17,3,7,7,0,118,72,48,16,16,11,17
2008-410,Monte Carlo Masters,Clay,56,M,20080420,055,104745,2,NA,Nadal,L,185,ESP,21.8836413415,2,5455,103819,1,NA,Roger Federer,R,185,SUI,26.7022587269,1,6425,7-5 7-5,3,F,103,1,2,63,51,32,5,12,1,5,5,0,75,47,28,8,12,1,7
2009-1536,Madrid Masters,Clay,56,M,20090510,055,103819,2,NA,Federer,R,185,SUI,27.7563312799,2,10170,104745,1,NA,Rafael Nadal,L,185,ESP,22.9377138946,1,15360,6-4 6-4,3,F,86,6,3,67,42,29,17,10,4,4,1,1,54,43,32,5,10,0,2
2009-580,Australian Open,Hard,128,G,20090119,127,104745,1,NA,Nadal,L,185,ESP,22.6310746064,1,13160,103819,2,NA,Roger Federer,R,185,SUI,27.4496919918,2,10700,7-5 3-6 7-6(3) 3-6 6-2,5,F,259,4,4,175,112,74,30,24,13,19,11,6,172,89,65,38,26,9,16
2010-1536,Madrid Masters,Clay,56,M,20100509,055,104745,2,NA,Nadal,L,185,ESP,23.9342915811,3,6480,103819,1,NA,Roger Federer,R,185,SUI,28.7529089665,1,10430,6-4 7-6(5),3,F,131,2,2,81,59,32,14,11,8,11,9,0,88,59,35,14,11,7,11
2010-605,Tour Finals,Hard,8,F,20101121,005,103819,NA,NA,Federer,R,185,SUI,29.2895277207,2,7645,104745,NA,NA,Rafael Nadal,L,185,ESP,24.4709103354,1,11450,6-3 3-6 6-1,3,F,98,7,1,64,40,37,14,13,1,2,1,1,66,51,33,10,12,0,3
2011-403,Miami Masters,Hard,96,M,20110323,093,104745,1,NA,Nadal,L,185,ESP,24.7967145791,1,12630,103819,3,NA,Roger Federer,R,185,SUI,29.6153319644,3,8280,6-3 6-2,3,SF,79,0,0,45,34,28,7,8,2,2,6,1,58,35,20,11,9,1,5
2011-520,Roland Garros,Clay,128,G,20110522,127,104745,1,NA,Nadal,L,185,ESP,24.9691991786,1,12070,103819,3,NA,Roger Federer,R,185,SUI,29.787816564,3,8390,7-5 7-6(3) 5-7 6-1,5,F,220,4,3,147,106,69,21,22,10,15,11,1,126,80,55,18,21,8,15
2011-1536,Madrid Masters,Clay,56,M,20110501,053,104745,1,NA,Nadal,L,185,ESP,24.9117043121,1,11915,103819,3,NA,Roger Federer,R,185,SUI,29.7303216975,3,8690,5-7 6-1 6-3,3,SF,156,1,0,101,82,55,10,14,9,11,0,1,103,63,41,16,14,7,12
2011-605,Tour Finals,Hard,16,F,20111120,002,103819,NA,NA,Federer,R,185,SUI,30.2861054073,4,6670,104745,NA,NA,Rafael Nadal,L,185,ESP,25.4674880219,2,9375,6-3 6-0,3,RR,61,6,1,40,27,23,9,8,0,0,1,0,41,30,14,5,7,2,6
2012-580,Australian Open,Hard,128,G,20120116,126,104745,2,NA,Nadal,L,185,ESP,25.620807666,2,9595,103819,3,NA,Roger Federer,R,185,SUI,30.4394250513,3,8010,6-7(5) 6-2 7-6(5) 6-4,5,SF,222,4,1,141,109,75,20,21,7,10,11,5,135,86,57,27,21,10,16
2012-404,Indian Wells Masters,Hard,96,M,20120308,94,103819,3,NA,Federer,R,185,SUI,30.5735797399,3,8710,104745,2,NA,Rafael Nadal,L,185,ESP,25.7549623546,2,10415,6-3 6-4,3,SF,92,6,2,56,36,23,13,10,2,4,0,2,56,40,23,7,9,2,6
2013-422,Cincinnati Masters,Hard,56,M,20130811,51,104745,4,NA,Nadal,L,185,ESP,27.1923340178,3,7860,103819,5,NA,Roger Federer,R,185,SUI,32.0109514031,5,5515,5-7 6-4 6-3,3,QF,134,3,1,94,69,51,15,16,1,2,4,0,102,65,44,23,15,7,9
2013-416,Rome Masters,Clay,56,M,20130512,55,104745,5,NA,Nadal,L,185,ESP,26.9431895962,5,6895,103819,2,NA,Roger Federer,R,185,SUI,31.7618069815,3,7760,6-1 6-3,3,F,69,1,1,42,31,22,8,8,1,2,3,0,53,30,17,7,8,1,6
